"Date","Action","Symbol","Description","Quantity","Price","Fees & Comm","Amount"
"05/16/2023 as of 05/15/2023","Bank Interest","","BANK INT ...523 SCHWAB BANK","","","","$0.22"
"05/01/2023","Qualified Dividend","CVS","CVS HEALTH CORP","","","","$1.21"
"04/26/2023","Buy","FCEL","FUELCELL ENERGY INC","60","$1.875","","-$112.50"
"04/26/2023","Buy","SCWO","374WATER INC","45","$2.595","","-$116.78"
"04/19/2023","Buy","XOM","EXXON MOBIL CORP","1","$116.63","","-$116.63"
"04/19/2023","Buy","CVS","CVS HEALTH CORP","2","$75.18","","-$150.36"
"04/19/2023","Buy","NEE","NEXTERA ENERGY INC","2","$78.53","","-$157.06"
"04/19/2023","Buy","IYW","ISHARES US TECHNOLOGY ETF","2","$91.29","","-$182.58"
"04/19/2023","MoneyLink Transfer","","Tfr JPMORGAN CHASE BAN","","","","-$40.00"
"04/17/2023 as of 04/15/2023","Bank Interest","","BANK INT ...523 SCHWAB BANK","","","","$0.55"
"04/04/2023","Buy","XOM","EXXON MOBIL CORP","2","$116.09","","-$232.18"
"03/16/2023 as of 03/15/2023","Bank Interest","","BANK INT ...523 SCHWAB BANK","","","","$0.64"
"03/06/2023","Buy","AMZN","AMAZON.COM INC","2","$95.20","","-$190.40"
"03/06/2023","Buy","AAPL","APPLE INC","2","$153.77","","-$307.54"
"02/16/2023 as of 02/15/2023","Bank Interest","","BANK INT ...523 SCHWAB BANK","","","","$0.22"
"02/06/2023","MoneyLink Transfer","","Tfr JPMORGAN CHASE BAN","","","","$2020.00"
